Ward_No,WardName,AC_No,AC_Name,ward_area_km2,TotalPop,SC_Pop,Population_Density_per_km2,SC_Share,LST_mean_2015,LST_mean_2019,LST_mean_2022,LST_p90_2015,LST_p90_2019,LST_p90_2022,LST_change_2015_2019,LST_change_2019_2022,LST_change_2015_2022,NDVI_mean_2015,NDVI_mean_2019,NDVI_mean_2022,NDVI_p90_2015,NDVI_p90_2019,NDVI_p90_2022,NDVI_change_2015_2022,nearest_hospital_dist_km,hospitals_within_2km,hospitals_within_5km,hospital_beds_within_5km,nearest_cooling_center_dist_km,cooling_centers_within_1km,cooling_centers_within_2km,SEC_Total_Population,SEC_SC_Population,Population_Mapping_Coverage,N_PCA_Units,N_Direct_PCA_Units,N_Candidate_Split_Units,N_Manual_Review_Units,Mapping_Status,Provenance,NDVI_2022_mean,NDVI_2022_median,NDVI_2022_p10,NDVI_2022_p90,valid_ndvi_area_km2,NDVI_pct_valid,LST_2015_mean,LST_2015_median,LST_2015_p90,valid_lst_area_2015_km2,LST_2015_pct_valid,LST_2019_mean,LST_2019_median,LST_2019_p90,valid_lst_area_2019_km2,LST_2019_pct_valid,LST_2022_mean,LST_2022_median,LST_2022_p90,valid_lst_area_2022_km2,LST_2022_pct_valid,cooling_centers_temples_1km,cooling_centers_schools_1km,cooling_centers_govt_bldg_1km,LST_diff_2015_2022,NDVI_diff_2015_2022
11,TIMARPUR,3,TIMARPUR,4.933695793605209,76596.0,14144.78859779627,15525.075562883227,0.1846674578019253,45.41702337923414,48.446926771782095,38.34714987114204,47.466506068550814,51.028299395054496,40.09412014971194,3.0299033925479577,-10.09977690064006,-7.069873508092101,0.2414207492701753,0.2819502057614761,0.2746195852436695,0.3650916906679736,0.4510332255708681,0.4705932183526122,0.033198835973494184,3.99,0,0,0,5.45,0,0,76596,14624,1.0,2,0,2,0,DIRECT_PLUS_CANDIDATE_SPLITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.2746195852436695,0.2520353413738674,0.1153341740462874,0.4705932183526122,4.926213662399469,99.84834632051214,45.41702337923414,45.40830854912387,47.466506068550814,4.926447597203637,99.8530878938469,48.446926771782095,48.279644270251325,51.028299395054496,4.926447597203637,99.8530878938469,38.34714987114204,38.344947048111,40.09412014971194,4.926447597203637,99.8530878938469,0,0,0,-7.069873508092101,0.0331988359734941
12,MALKA GANJ,3,TIMARPUR,3.170086311893851,68941.0,22783.90231753614,21747.35739570881,0.3304840706914048,44.98999971590311,47.82327316683659,38.173029568817554,46.79827071317654,49.78521712294589,40.01499781435753,2.8332734509334827,-9.650243598019038,-6.816970147085556,0.2870911939169367,0.3311361544437983,0.3516544849423339,0.4052873714461549,0.478549243478325,0.5330320048182388,0.06456329102539721,5.31,0,0,0,2.42,0,0,68941,22081,1.0,3,1,2,0,DIRECT_PLUS_CANDIDATE_SPLITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.3516544849423339,0.3613426912072748,0.1422647442169119,0.5330320048182388,3.1651360050680704,99.84384315319087,44.98999971590311,44.79398415893247,46.79827071317654,3.1652938984410905,99.8488238810792,47.82327316683659,47.59584872737189,49.78521712294589,3.1652938984410905,99.8488238810792,38.173029568817554,38.10853768662504,40.01499781435753,3.1652938984410905,99.8488238810792,0,0,0,-6.816970147085556,0.0645632910253972
13,MUKHERJEE NAGAR,3,TIMARPUR,3.816918776225836,79914.0,7104.568348134408,20936.782961627196,0.0889026747270116,45.35008300483359,47.99355709370497,37.96646400158621,46.71832945096845,49.59175527447941,39.52787153505962,2.643474088871379,-10.02709309211876,-7.383619003247382,0.2520572393772793,0.3009339105295615,0.3131868743990968,0.3953989746926878,0.4825623083975716,0.5220735234274569,0.06112963502181751,3.05,0,0,0,3.94,0,0,79914,7337,1.0,2,0,2,0,DIRECT_PLUS_CANDIDATE_SPLITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.3131868743990968,0.2871291845393938,0.1425664809394788,0.5220735234274569,3.811317126237936,99.85324157216048,45.35008300483359,45.46813439680876,46.71832945096845,3.811303736026058,99.85289076008765,47.99355709370497,48.153991886253486,49.59175527447941,3.811303736026058,99.85289076008765,37.96646400158621,38.03033793580056,39.52787153505962,3.811303736026058,99.85289076008765,0,0,0,-7.383619003247382,0.0611296350218175
14,DHIRPUR,4,ADARSH NAGAR,6.653838285480731,59858.0,9276.279607839424,8996.010638042631,0.1549714258384748,45.73365906691927,48.09195912701483,38.202769093251945,49.40580427736953,52.4433419475473,41.53303828928259,2.3583000600955586,-9.889190033762889,-7.530889973667328,0.2538293863640288,0.3124153332941247,0.3248474626020102,0.4746400085940827,0.5607459356760338,0.572572980175114,0.0710180762379814,1.04,0,0,0,4.9,0,0,59858,10544,1.0,3,0,3,0,DIRECT_PLUS_CANDIDATE_SPLITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.3248474626020102,0.3028668273062062,0.1230864474910131,0.572572980175114,6.643960392555621,99.85154594233732,45.73365906691927,46.4700285670406,49.40580427736953,6.644040012925799,99.85274255047176,48.09195912701483,49.06269108315176,52.4433419475473,6.644040012925799,99.85274255047176,38.202769093251945,38.96948362723839,41.53303828928259,6.644040012925799,99.85274255047176,0,0,0,-7.530889973667328,0.0710180762379814
15,ADARSH NAGAR,4,ADARSH NAGAR,2.266860119266233,59139.0,8624.057074077842,26088.508725074258,0.1458269005914514,48.03261832932733,51.15244311258274,40.74275391737339,49.41516572742871,53.46701039854233,42.34530925742076,3.1198247832554102,-10.409689195209346,-7.2898644119539355,0.1432936045634613,0.1787947733535523,0.1728157430635042,0.2200995964397803,0.2821475164997456,0.2836741470928616,0.0295221385000429,1.78,0,0,0,5.35,0,0,59139,7578,1.0,4,0,4,0,DIRECT_PLUS_CANDIDATE_SPLITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.1728157430635042,0.1464615613515998,0.0955229925420403,0.2836741470928616,2.2633726831224608,99.84615565318158,48.03261832932733,48.04759714354631,49.41516572742871,2.2634242205135573,99.84842916757528,51.15244311258274,50.77529139610433,53.46701039854233,2.2634242205135573,99.84842916757528,40.74275391737339,40.59233552089452,42.34530925742076,2.2634242205135573,99.84842916757528,0,0,0,-7.289864411953935,0.0295221385000429
16,AZADPUR,4,ADARSH NAGAR,1.8134103098709728,69220.0,15261.40405461592,38171.173740004335,0.2204767994021369,48.7986102172561,51.4785143866081,41.288410755493416,50.82967443714288,54.28460091500002,43.54161873102043,2.679904169352,-10.19010363111468,-7.5101994617626815,0.1603499580157047,0.1829269798394268,0.19338128628324,0.2488121884305932,0.2823486543625317,0.3219904434069325,0.0330313282675353,3.02,0,0,0,6.51,0,0,69220,15031,1.0,2,0,2,0,DIRECT_PLUS_CANDIDATE_SPLITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.19338128628324,0.1581597256952164,0.0996979275343558,0.3219904434069325,1.8106314151857872,99.84675863647298,48.7986102172561,48.67339210571431,50.82967443714288,1.8106074634784777,99.84543782632986,51.4785143866081,51.28305297396379,54.28460091500002,1.8106074634784777,99.84543782632986,41.288410755493416,41.07698593029511,43.54161873102043,1.8106074634784777,99.84543782632986,0,0,0,-7.5101994617626815,0.0330313282675353
17,BHALSWA,5,BADLI,0.891389599214218,63537.0,12897.11878166977,71278.5969861096,0.2029859574998783,47.4918671935202,49.81196295839944,40.490258869664274,49.644474921858425,52.17060583112865,42.08296125714288,2.320095764879241,-9.321704088735167,-7.001608323855926,0.163299914147061,0.1927347002996287,0.1823821310219317,0.2429963087630759,0.2981445469310793,0.2875283390862447,0.019082216874870717,2.42,0,0,0,6.83,0,0,63537,13939,1.0,2,0,2,0,DIRECT_PLUS_CANDIDATE_SPLITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.1823821310219317,0.1609471130625073,0.1101602619377548,0.2875283390862447,0.8899865433890548,99.84259903566296,47.4918671935202,47.34897331949598,49.644474921858425,0.8897453220932906,99.81553777132056,49.81196295839944,49.48014356359048,52.17060583112865,0.8897453220932906,99.81553777132056,40.490258869664274,40.30219044033594,42.08296125714288,0.8897453220932906,99.81553777132056,0,0,0,-7.001608323855926,0.0190822168748707
18,JAHANGIR PURI,5,BADLI,2.7315309291681595,80335.0,16776.77741210186,29410.247250784247,0.2088352201668247,48.27366059947695,50.53770930565788,40.60906714275495,52.3205211725,54.69522617187501,44.18133256400002,2.2640487061809296,-9.928642162902923,-7.664593456721995,0.1548168844513856,0.1847813421782495,0.1726930324177488,0.2198165289470449,0.3029758424580905,0.2823320723644003,0.017876147966363193,3.5,0,0,0,8.04,0,0,80335,15048,1.0,2,0,2,0,DIRECT_PLUS_CANDIDATE_SPLITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.1726930324177488,0.1494400159522951,0.1064580664939617,0.2823320723644003,2.727303231742108,99.84522608252728,48.27366059947695,48.560212835861314,52.3205211725,2.727942105674834,99.86861494208236,50.53770930565788,50.68638708905759,54.69522617187501,2.727942105674834,99.86861494208236,40.60906714275495,40.5596495353616,44.18133256400002,2.727942105674834,99.86861494208236,0,0,0,-7.664593456721995,0.0178761479663631
19,SARUP NAGAR,5,BADLI,4.920022122839095,78653.0,10406.04530699239,15986.31023118517,0.1323032218350526,48.674805393961456,51.31128837788255,41.049524363171045,50.76204858399013,53.592743900115416,43.095662012013264,2.6364829839210917,-10.261764014711504,-7.625281030790411,0.1536518642106405,0.1666200453921051,0.16124421645728,0.2118905272862831,0.2363414100949236,0.2443114541578054,0.007592352246639483,5.4,0,0,0,10.07,0,0,78653,10629,1.0,3,0,3,0,DIRECT_PLUS_CANDIDATE_SPLITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.16124421645728,0.1385329011539637,0.0997334128254431,0.2443114541578054,4.913212815503171,99.86160006670876,48.674805393961456,48.42083177144816,50.76204858399013,4.913233869342646,99.86202798835116,51.31128837788255,51.1572414847195,53.592743900115416,4.913233869342646,99.86202798835116,41.049524363171045,40.71792573259901,43.095662012013264,4.913233869342646,99.86202798835116,0,0,0,-7.625281030790411,0.0075923522466394
20,SAMAYPUR BADLI,5,BADLI,4.742670114399282,67788.0,15157.05849923598,14293.214236889042,0.2235950094299283,49.391365036062254,51.80774114072219,41.74622580782818,51.344800640832446,53.9057747418397,44.03168936571532,2.416376104659939,-10.061515332894013,-7.645139228234072,0.1598046170021592,0.1835335071268574,0.1840092998380064,0.2528158987273728,0.3031776550043873,0.3574371436795978,0.024204682835847202,5.78,0,0,0,9.64,0,0,67788,15621,1.0,3,1,2,0,DIRECT_PLUS_CANDIDATE_SPLITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.1840092998380064,0.1388817950463841,0.0918743571239832,0.3574371436795978,4.735422448944706,99.84718175036946,49.391365036062254,49.40294514654418,51.344800640832446,4.7361476777109175,99.86247332133512,51.80774114072219,51.907934631994266,53.9057747418397,4.7361476777109175,99.86247332133512,41.74622580782818,41.78045972546591,44.03168936571532,4.7361476777109175,99.86247332133512,0,0,0,-7.645139228234072,0.0242046828358472
21,ROHINI-A,6,RITHALA,2.123941588042419,66482.0,3669.629176042929,31301.237460713175,0.0551973342565345,46.35531065207666,48.52222817807943,38.79017991251018,47.96774087390996,50.09414743623008,39.95483690000001,2.16691752600277,-9.732048265569247,-7.565130739566477,0.2152872230150301,0.2683996311392415,0.2747727395986048,0.3152747664104531,0.4049973615923276,0.4360053195276237,0.05948551658357473,7.69,0,0,0,10.35,0,0,66482,4014,1.0,1,0,1,0,DIRECT_PLUS_CANDIDATE_SPLITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.2747727395986048,0.2518632279218049,0.1542316677610968,0.4360053195276237,2.12076702311509,99.85053426397404,46.35531065207666,46.278044872647584,47.96774087390996,2.1206613990509617,99.84556124283624,48.52222817807943,48.59400917472239,50.09414743623008,2.1206613990509617,99.84556124283624,38.79017991251018,38.924469493923,39.95483690000001,2.1206613990509617,99.84556124283624,0,0,0,-7.565130739566477,0.0594855165835747
22,ROHINI-B,6,RITHALA,3.48536726849613,60621.0,4322.665641337784,17393.002036814563,0.0713064060529813,46.241183693956174,48.26784620807887,37.95869166462867,48.28030481900649,50.526734151505885,39.72316812881132,2.026662514122698,-10.309154543450203,-8.282492029327507,0.2679505782021068,0.3236995120477822,0.3418323069469891,0.4327090719939236,0.5135583748257486,0.6030975726412534,0.07388172874488225,9.07,0,0,0,10.68,0,0,60621,2939,1.0,2,0,2,0,DIRECT_PLUS_CANDIDATE_SPLITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.3418323069469891,0.3141283811232137,0.1465309753154647,0.6030975726412534,3.480256980987665,99.85337879440551,46.241183693956174,46.21842989313433,48.28030481900649,3.480204623244103,99.85187657844006,48.26784620807887,48.40435462645242,50.526734151505885,3.480204623244103,99.85187657844006,37.95869166462867,38.40923215062044,39.72316812881132,3.480204623244103,99.85187657844006,0,0,0,-8.282492029327507,0.0738817287448822
23,RITHALA,6,RITHALA,4.051320411069838,71698.0,7024.621540115639,17697.440025748692,0.0979751393360433,48.06076068809036,50.42614348282648,39.50399113523422,49.9711171975498,52.46447095162335,41.09624355786486,2.365382794736121,-10.92215234759226,-8.556769552856139,0.2104020027834016,0.246148558894454,0.2577392423421061,0.3569632250503846,0.4468693406892651,0.4509718733697845,0.0473372395587045,9.61,0,0,0,10.85,0,0,71698,9069,1.0,3,0,3,0,DIRECT_PLUS_CANDIDATE_SPLITS,2011 Census PCA linked to official 2022 Delhi ward delimitation. Direct PCA units receive full-value transfer. Split PCA units with passing population-share QA receive candidate population-proportional allocation. Unresolved/manual units are explicitly flagged.,0.2577392423421061,0.2283425592802165,0.1114148244670947,0.4509718733697845,4.045032698203893,99.8447984304385,48.06076068809036,48.34344380412891,49.9711171975498,4.045417483110495,99.85429619579794,50.42614348282648,50.90612756028726,52.46447095162335,4.045417483110495,99.85429619579794,39.50399113523422,39.47021136065777,41.09624355786486,4.045417483110495,99.85429619579794,0,0,0,-8.556769552856139,0.0473372395587045
